id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
42,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1
43,0,1,3,2,0,1,0,0,0,0,0,0,4,0,0,0
44,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,1
45,3,1,62,0,1,1,0,1,6,0,0,0,0,0,43,1
46,0,2,1,0,1,0,0,5,0,0,0,0,1,4,2,0
47,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1
48,0,1,13,0,1,0,0,2,2,0,9,0,0,1,0,1
49,0,0,38,1,2,9,0,0,1,1,0,0,1,2,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
51,1,0,2,0,1,0,0,4,0,0,3,0,0,3,0,0
52,0,4,7,1,3,0,0,0,0,3,0,0,0,6,2,0
53,7,0,2,0,0,0,0,0,0,8,0,0,0,7,0,1
54,3,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0
55,0,1,4,1,0,0,0,0,0,10,10,0,0,4,1,1
56,0,0,2,0,1,0,0,0,3,2,1,0,0,0,0,1
57,2,1,0,0,0,1,1,0,1,3,1,1,1,6,0,1
58,7,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1
59,2,0,18,0,8,14,0,0,0,1,0,5,0,2,1,0
60,1,2,4,2,1,0,3,2,23,0,0,0,0,0,1,1
61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
62,1,0,4,0,1,3,0,0,1,1,0,0,0,8,0,0
63,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
64,2,1,6,0,0,0,0,0,2,23,0,0,0,6,1,0
65,0,0,40,0,2,2,0,0,21,7,4,0,0,8,0,1
66,3,6,0,0,0,0,1,0,1,1,0,0,0,15,0,0
67,4,0,14,0,3,0,0,0,1,1,0,4,0,2,0,0
68,3,1,8,0,0,2,0,2,5,0,0,0,0,0,0,0
69,0,1,8,1,1,0,2,1,0,2,0,0,0,15,0,0
70,5,0,1,0,1,0,0,0,1,1,1,2,0,0,1,0
71,4,6,3,0,0,51,1,0,0,1,2,0,1,1,0,0
72,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
73,0,0,0,1,0,0,6,0,0,0,0,0,1,14,0,0
74,0,1,37,0,1,0,1,0,1,0,0,0,0,1,1,0
75,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
76,9,2,0,1,0,1,2,0,0,1,0,0,0,11,1,0
77,2,0,2,0,0,4,1,2,0,0,1,1,0,7,0,1
78,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
80,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1
81,0,0,4,0,2,0,1,1,4,9,1,0,0,5,0,0
82,1,0,1,0,2,0,2,0,1,1,1,0,0,4,0,0
83,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
84,3,12,0,0,2,0,0,0,0,0,3,0,0,4,19,0
85,2,1,0,0,1,0,2,0,0,5,0,0,4,0,0,0
86,9,3,1,4,0,2,0,0,20,0,38,0,2,5,1,1
87,0,0,8,3,0,0,0,1,0,9,10,0,1,2,3,0
88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
89,5,1,8,1,1,0,0,0,1,30,4,1,0,16,0,0
90,5,10,3,0,1,1,0,1,0,0,8,0,2,94,0,0
91,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
92,0,1,82,0,0,0,0,0,3,11,0,0,1,5,0,0
93,1,0,9,1,0,0,0,0,0,0,2,0,3,0,1,0
94,0,2,4,1,0,1,1,0,0,4,0,3,0,7,5,0
95,0,5,11,4,4,0,0,1,1,2,0,4,0,0,0,1
96,0,1,6,1,0,9,0,0,0,0,0,0,0,14,2,1
97,2,0,0,0,2,0,0,2,2,0,0,0,0,5,0,1
98,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,1
99,2,0,2,0,0,0,0,0,1,0,0,0,0,22,0,1
100,0,0,1,0,1,0,3,0,1,1,0,1,0,0,0,0
101,0,1,0,1,0,11,0,2,0,4,0,0,2,0,1,0
102,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
103,2,3,0,2,5,0,0,2,0,1,2,1,0,9,0,0
104,2,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1
105,2,0,0,2,1,0,0,0,0,0,10,0,1,0,0,1
106,6,15,2,3,0,2,1,0,0,9,35,0,11,24,7,0
107,0,1,10,1,0,1,0,0,0,15,0,1,0,5,0,1
108,0,0,0,0,0,0,1,0,0,2,0,0,0,8,0,1
109,3,1,4,1,2,4,2,0,0,6,0,0,1,9,1,0
110,1,1,1,0,3,1,0,0,1,0,1,0,0,32,1,0
111,2,2,8,2,0,5,0,0,2,2,0,0,0,2,43,1
112,0,0,5,0,2,0,0,0,0,0,1,0,0,4,0,0
113,7,0,6,1,2,10,1,1,1,1,1,3,0,5,2,0
114,0,2,7,0,0,0,0,0,4,5,0,0,1,9,0,0
115,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
116,0,8,17,7,1,0,0,0,0,0,2,1,0,1,0,1
117,4,1,0,0,0,0,1,0,0,4,0,0,0,0,1,1
118,6,0,1,0,1,1,2,2,0,0,1,1,0,2,0,1
119,4,2,8,2,0,0,0,1,1,0,4,0,1,5,2,0
120,41,4,0,1,0,1,4,0,0,25,2,2,4,18,0,0
121,2,2,8,0,1,0,0,0,0,0,0,0,0,0,0,1
122,0,0,0,0,3,0,0,0,0,3,1,0,0,6,0,1
123,0,1,36,3,0,43,0,2,0,1,0,0,2,6,0,1
124,0,0,0,2,5,4,0,0,0,9,3,0,2,3,3,0
125,2,5,35,3,0,1,0,6,1,3,0,8,3,2,2,1
126,0,0,2,0,3,1,0,0,0,2,0,0,0,2,0,0
127,0,4,4,0,0,2,0,0,0,1,0,0,11,1,0,1
128,2,1,16,1,4,1,7,0,0,6,4,0,2,2,1,0
129,1,1,8,0,4,0,10,1,0,0,0,0,1,7,1,1
130,2,1,0,0,0,0,0,1,3,0,0,0,0,2,3,1
131,6,1,1,0,7,0,0,0,0,0,0,0,0,2,5,1
132,1,0,7,0,0,0,0,0,0,6,0,0,0,2,1,0
133,3,2,5,0,1,0,1,1,0,0,0,1,0,4,2,0
134,0,2,11,0,5,1,1,1,2,0,4,0,1,1,5,0
135,0,2,0,0,0,1,0,1,1,1,1,0,2,14,1,1
136,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
137,2,1,1,0,0,1,0,0,0,0,1,0,0,3,0,1
138,2,0,0,0,0,1,0,1,0,3,1,0,0,0,0,1
139,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
140,5,0,5,2,0,0,0,9,0,2,1,0,0,0,0,0
141,8,0,7,0,0,0,0,0,0,1,0,1,0,1,4,0
142,43,0,5,1,0,7,0,1,2,2,40,3,0,5,2,0
143,0,0,1,2,0,0,0,0,0,0,0,1,2,9,0,1
144,8,5,54,1,1,2,0,2,3,1,3,0,0,7,3,0
145,0,1,2,0,0,1,2,0,3,4,0,0,0,9,2,1
146,0,2,1,0,0,0,1,0,2,5,0,1,1,2,1,0
147,1,0,2,5,5,0,0,1,24,0,0,0,0,11,1,0
148,9,0,17,1,2,0,0,0,7,1,3,1,4,6,0,0
149,1,2,0,2,1,1,0,0,0,0,0,0,0,8,0,0
150,0,1,1,0,1,0,0,0,0,0,0,0,2,2,3,1
151,1,5,5,1,9,5,0,0,0,2,0,0,1,3,0,1
152,3,2,20,0,1,1,0,2,0,0,0,0,0,25,0,1
153,0,0,2,0,0,0,0,0,0,0,0,1,0,7,1,1
154,0,1,24,0,12,0,0,0,0,4,0,0,1,5,0,1
155,0,3,4,0,0,1,1,1,0,2,0,0,2,1,0,0
156,0,1,13,0,1,0,0,0,0,1,3,0,0,10,0,1
157,2,1,0,0,1,3,0,0,3,8,0,1,0,0,0,1
158,2,0,0,1,1,0,1,0,2,0,0,1,0,4,1,0
159,5,1,0,0,6,1,9,2,2,2,0,0,8,20,15,1
160,2,0,13,0,0,0,0,2,2,0,0,0,0,16,1,1
161,0,1,0,0,1,6,0,0,0,2,0,0,1,3,4,1
162,2,1,0,0,0,1,1,0,0,3,0,0,0,11,22,0
163,0,4,0,0,0,0,0,0,2,1,4,4,0,1,5,0
164,7,8,11,0,22,9,1,0,1,6,1,0,22,1,0,0
165,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
168,0,3,3,3,1,9,3,1,2,1,3,0,0,0,4,1
169,1,1,4,0,0,1,0,0,0,1,1,0,1,7,0,1
170,4,9,0,0,1,2,0,0,1,2,0,0,1,0,0,0
171,0,0,2,0,8,1,0,0,32,2,0,1,0,10,0,0
172,3,0,3,0,1,2,0,0,1,0,1,0,0,50,1,1
173,2,1,3,2,0,5,0,0,1,4,0,1,0,17,0,0
174,0,2,1,1,5,1,3,1,0,1,1,1,2,4,7,1
175,8,11,4,0,6,0,0,1,0,13,0,0,0,1,0,0
176,2,1,3,0,0,0,1,1,2,2,1,1,0,4,1,0
177,2,0,0,0,3,4,0,0,4,0,3,0,0,0,0,1
178,0,2,6,1,0,27,8,3,20,1,2,1,1,12,0,0
179,4,0,0,1,4,1,1,0,0,10,1,0,2,2,0,0
180,4,0,0,0,0,5,4,0,1,0,0,0,20,2,2,0
181,0,8,2,1,0,3,0,3,0,5,1,27,0,0,1,0
182,2,16,11,0,0,1,0,1,0,13,1,0,0,4,0,1
183,3,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1
184,3,4,0,0,0,6,1,0,0,2,1,1,0,0,0,0
185,4,1,0,2,1,1,0,2,1,0,0,2,2,5,1,0
186,0,12,38,1,4,0,1,0,4,3,1,3,16,3,0,0
187,0,0,0,2,0,0,6,1,1,0,0,0,1,56,1,0
188,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
191,2,6,1,0,5,0,1,0,1,0,0,3,0,2,0,0
192,5,1,62,3,0,8,0,0,1,0,1,1,0,5,1,1
193,1,1,3,0,0,1,0,0,1,4,0,0,1,8,0,0
194,2,0,2,0,2,0,0,0,0,4,0,0,1,15,0,0
195,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1
196,5,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0
197,6,9,7,0,0,2,0,4,8,6,17,0,2,6,1,1
198,0,0,0,1,0,0,0,0,3,5,2,0,0,0,0,0
199,0,2,49,1,2,0,6,1,1,3,0,4,0,4,1,0
200,4,9,0,2,0,0,5,1,5,0,4,0,1,4,0,1
201,0,0,1,1,0,80,0,0,11,2,54,0,0,2,2,0
202,5,0,1,0,0,2,0,1,1,0,0,4,0,6,2,1
203,8,1,2,0,4,1,0,0,0,4,1,0,0,0,15,0
204,0,10,9,0,3,0,0,0,0,0,1,0,1,0,0,1
205,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,1
206,0,0,5,0,0,0,0,1,0,0,0,0,0,11,0,0
207,2,1,5,0,0,1,0,0,3,2,0,1,0,0,1,1
208,3,5,0,0,2,2,2,1,0,6,2,0,2,62,2,0
209,5,0,2,0,0,0,4,0,0,1,0,0,0,0,2,1
210,5,4,16,0,0,1,0,1,1,5,0,0,0,4,0,0
211,4,0,9,0,1,0,0,0,0,0,0,0,0,3,0,1
212,1,7,26,0,4,10,0,1,4,4,0,32,0,8,1,1
213,5,11,9,0,0,1,0,4,1,0,0,0,2,10,1,0
214,0,0,22,0,0,2,0,0,6,0,1,1,0,63,0,1
215,0,0,63,0,1,0,0,0,0,23,0,0,0,14,1,0
216,2,18,3,1,0,1,0,0,0,0,1,0,0,6,55,0
217,0,20,2,2,1,0,0,1,0,0,1,0,0,0,0,1
218,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1
219,1,0,0,8,0,1,1,0,4,1,0,0,0,3,2,1
220,0,10,1,1,11,3,1,1,0,7,0,0,12,5,1,1
221,1,0,0,0,1,0,3,0,1,0,1,0,0,1,0,0
222,0,0,4,0,0,0,1,0,0,3,0,2,0,0,0,0
223,1,0,1,0,2,0,2,0,0,0,0,1,1,2,1,0
224,1,6,2,0,0,17,6,0,0,3,0,4,1,0,1,0
225,5,6,11,0,0,1,2,1,5,5,0,0,1,11,1,0
226,0,1,0,1,0,7,1,0,1,2,0,1,1,9,3,0
227,29,1,4,1,2,5,0,0,0,1,0,2,1,8,8,0
228,9,1,2,2,0,0,0,0,0,2,0,1,1,10,1,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2,1,8,0,2,0,2,2,1,0,2,0,2,2,12,0
231,0,1,0,1,0,1,0,0,0,2,0,0,0,7,0,0
232,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
233,0,0,4,2,2,13,0,11,3,0,1,0,0,0,0,1
234,2,1,9,1,10,0,3,8,33,4,0,0,1,6,5,0
235,3,2,15,1,6,0,0,0,0,1,0,3,0,9,0,0
236,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
237,2,0,10,1,0,2,1,3,0,3,0,0,0,8,0,0
238,1,4,6,0,6,2,0,0,6,4,1,0,0,7,0,0
239,0,0,8,0,0,0,0,2,1,0,0,0,0,0,0,1
240,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
241,0,1,0,4,0,0,0,0,0,1,0,0,0,0,1,1
242,4,0,1,0,1,0,0,2,2,0,0,0,0,3,1,1
243,13,0,5,0,0,23,0,0,3,2,2,1,0,11,1,1
244,5,2,6,1,0,9,0,0,0,5,0,0,0,14,1,0
245,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
246,1,0,0,0,1,8,1,0,1,1,0,0,0,0,0,0
247,0,9,2,0,0,1,2,0,0,2,6,0,0,14,1,0
248,4,0,33,0,0,0,4,0,2,1,5,3,0,24,1,0
249,0,3,1,0,0,0,1,0,0,1,0,0,0,3,0,0
250,8,0,6,0,0,1,0,2,2,0,2,0,1,5,4,1
251,5,0,2,7,2,1,0,2,0,0,1,0,0,2,6,0
252,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,1
253,0,0,0,0,0,13,5,0,0,2,0,0,2,0,0,1
254,2,5,12,1,1,0,2,4,0,7,0,0,0,0,1,1
255,5,1,2,0,0,2,0,0,1,3,0,0,0,1,0,0
256,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
257,1,6,4,0,1,14,0,1,13,3,2,0,2,3,0,0
258,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,1
259,0,0,1,0,2,0,0,0,0,3,4,0,0,0,0,1
260,3,0,1,0,0,1,0,0,1,2,3,0,1,8,2,0
261,1,5,22,0,2,26,1,0,0,2,0,0,1,0,2,0
262,4,0,9,0,6,0,0,0,4,0,0,1,0,0,0,1
263,0,4,0,0,2,0,0,0,1,0,0,0,0,2,3,0
264,0,1,10,0,0,2,0,1,2,2,2,0,1,0,0,0
265,1,1,1,0,1,1,0,0,0,1,5,4,0,0,0,0
266,1,0,1,0,0,0,0,0,4,1,3,0,0,6,0,0
267,2,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0
268,0,2,2,0,0,0,0,0,3,7,2,2,0,3,0,1
269,0,0,2,1,6,2,2,5,0,13,0,0,0,2,7,1
270,0,0,6,0,0,0,0,0,1,4,0,1,0,7,1,0
271,33,1,0,3,5,3,0,0,3,12,3,0,1,17,0,1
272,0,0,3,0,2,1,0,0,0,0,2,0,0,1,0,1
273,0,0,11,0,0,2,0,1,0,0,12,0,2,0,1,0
274,10,4,76,0,0,5,2,0,3,2,0,4,3,8,3,1
275,3,0,9,1,1,0,0,0,1,0,3,0,0,4,2,0
276,0,1,1,1,0,0,0,0,0,3,0,1,0,2,0,1
277,1,0,1,1,3,0,0,0,0,0,1,0,0,7,0,0
278,0,0,7,1,0,0,0,0,0,0,2,0,0,13,0,0
279,5,3,16,0,1,6,0,1,1,1,0,0,0,0,9,1
280,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1
281,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1
282,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,1
283,2,0,6,2,0,1,19,0,2,2,0,1,1,2,2,0
284,0,0,5,0,2,0,6,0,0,2,0,7,0,3,0,0
285,2,0,0,0,1,0,1,2,4,0,0,0,0,2,0,0
286,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1
287,0,7,0,0,0,0,0,0,1,0,0,0,0,7,1,0
288,2,0,8,9,6,0,12,1,2,2,0,3,0,33,12,0
289,4,0,0,0,4,1,1,1,2,0,1,0,1,2,0,0
290,3,4,24,5,2,5,0,2,0,24,3,0,1,1,4,1
291,1,0,10,2,0,2,0,0,2,2,0,4,1,0,1,0
292,0,4,0,0,6,1,0,0,0,2,1,0,0,4,9,1
293,0,0,2,0,1,1,0,0,0,3,2,0,0,20,4,0
294,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
295,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1
296,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1
297,0,2,52,0,1,0,0,1,2,3,1,1,0,6,11,1
298,0,1,5,1,1,1,0,0,1,2,1,0,1,13,2,0
299,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,1
300,4,1,0,0,1,1,0,1,1,2,0,2,0,5,0,1
301,0,0,3,1,0,0,0,0,0,2,10,1,0,4,2,0
302,1,0,43,0,2,0,0,0,0,1,3,0,1,6,0,1
303,0,0,14,1,0,1,0,0,0,2,1,0,0,5,0,0
304,0,0,3,1,0,0,0,1,0,1,0,2,0,9,1,1
305,0,1,0,0,3,0,2,0,0,2,0,1,0,0,20,0
306,0,7,1,0,0,0,0,0,0,4,6,10,1,13,1,1
307,1,0,0,0,1,0,0,0,0,0,2,0,0,13,0,1
308,3,0,5,0,1,0,0,0,1,2,0,0,0,1,3,0
309,0,0,2,3,0,6,0,7,0,2,4,2,1,4,1,0
310,3,0,7,6,1,0,0,0,4,0,3,0,0,14,0,0
311,0,0,0,0,5,0,0,0,3,2,1,0,0,8,2,0
312,3,5,5,0,1,4,0,0,27,3,0,2,0,0,3,1
313,0,3,2,0,3,0,1,0,1,7,0,0,1,12,2,0
314,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
315,2,0,2,1,1,4,0,2,12,0,0,0,0,9,3,1
316,2,2,18,1,0,4,12,2,0,4,8,30,0,4,1,1
317,16,0,3,0,20,4,0,0,11,0,0,0,0,13,0,0
318,0,0,1,0,0,0,0,1,0,0,2,0,0,11,0,0
319,6,0,4,1,0,0,0,1,0,0,0,0,0,2,0,0
320,11,2,8,0,1,1,0,0,0,3,0,0,0,0,3,1
321,2,5,20,0,1,3,0,0,0,2,0,0,0,11,0,0
322,8,1,8,1,0,1,1,0,0,3,0,1,1,20,1,0
323,3,0,25,0,0,0,0,0,1,0,0,0,1,15,1,0
324,0,0,12,0,0,0,0,0,0,0,0,0,2,1,0,0
325,1,0,1,0,4,0,0,0,2,0,0,0,0,2,2,1
326,0,0,60,0,6,1,3,0,1,4,0,0,0,8,0,1
327,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,1
328,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,1
329,5,0,5,1,1,7,0,0,3,8,1,1,1,3,0,1
330,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0,1
331,0,1,5,2,4,4,0,1,2,2,0,0,0,3,0,1
332,4,1,2,0,1,1,0,0,0,0,3,4,1,0,0,0
333,0,3,5,0,0,13,0,0,2,3,1,0,0,18,2,0
334,0,2,0,0,0,0,1,0,2,9,0,0,0,7,0,1
335,0,0,22,0,1,0,0,0,0,0,2,1,0,3,2,0
336,4,1,1,1,0,0,1,0,0,1,0,1,1,0,2,1
337,4,1,0,0,0,0,2,2,0,1,0,0,0,3,0,0
338,2,2,3,0,1,0,2,0,5,16,0,1,1,8,1,0
339,4,1,12,0,2,0,0,1,0,0,0,1,0,5,0,1
340,8,4,0,0,1,0,0,0,10,1,10,1,0,1,0,1
341,2,0,0,1,0,1,0,0,6,2,0,0,0,7,0,0
342,1,0,9,0,2,5,0,0,1,15,28,0,1,5,7,1
343,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,1
344,4,3,0,2,0,8,0,0,0,0,0,0,0,0,44,1
345,49,13,14,0,1,0,0,0,0,1,0,0,0,63,0,1
346,0,0,14,1,1,0,0,0,0,2,2,1,4,4,0,0
347,0,0,5,0,0,0,0,1,2,2,0,0,0,3,0,0
348,4,11,6,0,4,2,2,3,3,1,2,1,0,7,44,0
349,0,1,0,0,0,1,0,0,30,0,9,1,1,0,8,1
350,7,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0
351,0,0,0,0,3,11,0,0,0,0,2,0,0,9,0,1
352,0,7,6,0,2,0,0,0,1,2,0,0,3,0,0,1
353,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1
354,6,1,43,1,2,2,4,1,3,0,2,1,1,13,1,0
355,0,0,0,0,1,0,0,0,0,1,0,0,0,32,0,0
356,0,2,0,0,2,11,10,0,1,1,0,3,1,2,38,0
357,0,0,4,0,0,1,0,1,1,2,0,1,0,5,1,0
358,0,0,8,0,1,0,0,0,1,0,0,0,1,0,0,1
359,5,4,61,0,1,1,0,0,0,10,9,0,1,0,0,0
360,0,0,2,1,1,0,0,2,0,0,0,0,1,0,2,0
361,1,4,2,0,1,6,0,0,4,0,1,0,0,0,0,0
362,0,0,10,0,3,0,6,0,0,0,0,0,0,2,1,0
363,0,12,21,1,10,37,0,0,0,1,0,2,0,3,0,0
364,0,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0
365,0,3,2,0,4,3,0,1,0,4,1,0,0,1,2,0
366,2,0,0,0,1,0,0,0,0,0,0,0,0,8,1,1
367,25,6,12,0,27,1,3,0,2,6,1,0,3,3,1,0
368,0,0,39,0,3,2,0,5,1,1,1,2,0,0,5,1
369,9,0,2,0,1,6,0,1,0,5,1,0,0,2,1,1
370,2,1,0,0,5,6,0,0,1,0,0,0,0,7,1,0
371,1,0,10,2,1,0,0,5,1,2,2,3,0,1,0,1
372,5,0,6,0,6,1,0,2,0,0,3,0,2,0,1,1
373,5,1,0,1,1,0,0,2,0,2,0,1,0,8,7,1
374,1,2,1,3,8,7,0,0,2,0,1,1,2,0,0,0
375,4,1,3,2,5,0,1,0,0,2,0,1,0,2,1,0
376,9,3,1,0,0,0,0,0,2,7,6,5,0,28,1,0
377,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
378,3,0,64,3,2,6,0,1,0,0,0,0,0,5,4,0
379,2,1,4,0,1,0,0,2,0,2,0,1,1,0,1,0
380,0,1,6,6,0,5,0,2,6,3,1,1,0,18,1,0
381,6,8,1,0,0,0,0,0,0,3,0,0,1,5,0,1
382,5,0,13,2,4,0,2,0,2,0,6,0,3,0,0,0
383,7,4,2,0,0,0,0,0,0,4,7,0,0,5,0,0
384,0,3,1,0,1,0,0,2,0,4,0,2,0,7,0,1
385,1,0,0,0,2,0,0,0,1,0,2,0,0,7,1,1
386,1,0,0,0,0,2,0,2,0,0,0,0,0,0,3,1
387,1,0,1,2,1,1,0,0,0,2,1,0,1,1,0,0
388,3,0,0,0,0,52,0,0,0,1,0,6,0,5,2,0
389,6,0,17,0,1,0,0,1,1,1,2,0,2,0,1,0
390,0,7,0,0,0,0,0,1,0,0,0,0,0,4,8,1
391,2,1,5,0,6,0,2,0,2,41,0,0,0,49,1,0
392,3,21,0,0,0,0,0,2,0,3,5,1,1,21,1,0
393,0,0,4,0,1,1,0,0,0,10,0,0,0,0,3,0
394,0,11,0,0,2,4,0,0,0,0,2,0,0,12,51,1
395,1,0,0,0,0,2,0,1,0,0,0,0,0,3,0,1
396,2,2,4,2,1,0,0,0,0,1,0,1,0,41,3,0
397,2,14,7,0,0,1,1,0,1,0,25,2,0,3,0,1
398,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1
399,1,26,0,0,2,0,0,15,0,7,0,0,0,137,0,0
400,3,0,2,0,0,0,1,0,0,0,0,0,0,3,0,1
401,0,0,7,0,0,1,0,1,0,0,0,0,0,0,1,1
402,0,1,0,2,2,2,5,0,3,4,1,1,1,13,0,0
403,0,1,26,0,3,2,0,1,2,1,2,0,2,14,0,0
404,1,0,0,0,2,0,0,0,0,12,0,1,0,0,0,1
405,1,3,13,0,0,1,2,0,1,6,1,0,2,4,7,0
406,0,0,15,0,2,0,0,0,5,0,0,0,0,2,0,0
407,7,2,51,1,4,0,2,0,1,0,0,8,1,0,0,0
